ID,PwsID,WaterSystemName,WaterSystemCounty,PSCODE,DISTRICT,SchoolName,SchoolAddress,SchoolCounty,SchoolSiteName,SAMPLE_DATE,RESULT,RPT_UNIT,Action_Level_Exceedance?,ALE_Follow_Up_Action,ALE_Follow_Up_Status
4024,CA1010007,CITY OF FRESNO,FRESNO,1010007-BBE-A,Washington Unified, W E B DuBois Public Charter Satellite Campus,2604 Martin Luther King Blvd Fresno  CA 93706 ,Fresno ,Fount Bet RRs 1st Flr Westside		,2018-08-22,5.0,UG/L,No,,
548,CA0110005,EAST BAY MUD,ALAMEDA,0110005-ADI-A,,A Better Chance / California Autism Foundation,4138 Lakeside Drive Richmond CA 94806,Contra Costa,Fountain	taller outside kitchen ,2017-10-25,5.0,UG/L,No,,
8337,CA3010022,GOLDEN STATE WC - WEST ORANGE,ORANGE,3010022-ABG-C,Cypress Elementary,A E Arnold Elementary,9281 Denni Street Cypress CA 90630-2724,Orange,Kitchen ,2018-08-15,120.0,UG/L,Yes,Resampled,Pending
8621,CA3010046,CITY OF TUSTIN,ORANGE,3010046-AAB-A,Tustin Unified,A G Currie Middle,1402 Sycamore Ave Tustin CA 92780-6233,Orange,A sample Outside RM 401,2017-10-25,5.0,UG/L,No,,
8742,CA3010062,CITY OF GARDEN GROVE,ORANGE,3010062-AAB-A,Garden Grove Unified,A J Cook Elementary,9802 Woodbury Avenue Garden Grove CA 92844-2819,Orange,Building M Kindergarten,2018-04-19,5.0,UG/L,No,,
18254,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BID-A,Alum Rock Union Elementary,A J Dorsa Elementary,1290 Bal Harbor Drive San Jose CA 95122-1902,Santa Clara,Sample Location 1,2018-03-13,5.0,UG/L,No,,
10641,CA3410010,CALAM - SUBURBAN,SACRAMENTO,3410010-AAC-A,Sacramento City Unified,A M Winn Waldorf-Inspired,3351 Explorer Drive Sacramento CA 95827-2954,Sacramento,Kitchen,2017-09-15,12.0,UG/L,No,,
19851,CA5610014,OJAI WATER SYSTEM,VENTURA,5610014-AAE-A,Ojai Unified,A Place to Grow,414 East Ojai Avenue Ojai CA 93023-2819,Ventura,K-1 Classroom,2017-04-04,5.0,UG/L,No,,
18111,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BEC-A,Santa Clara County Office of Education,ACE Empower Academy,625 South Sunset Avenue San Jose CA 95116-3423,Santa Clara,Sample Location 1,2018-01-23,5.0,UG/L,No,,
18114,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BED-A,Franklin-McKinley Elementary,ACE Franklin McKinley,1665 Santee Drive San Jose CA 95112-2865,Santa Clara,Sample Location 1,2018-01-24,5.0,UG/L,No,,
17641,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-AEG-A,San Jose Unified,ACE Inspire Academy,110 East Hedding Street San Jose CA 95112-6334,Santa Clara,Sample Location 1,2018-01-24,5.0,UG/L,No,,
823,CA0110005,EAST BAY MUD,ALAMEDA,0110005-AIE-A,Oakland Unified,ACORN Woodland Elementary,1025 81st Avenue Oakland CA 94621-2455,Alameda,Fountain	First floor hallway Building B upper fountain ,2017-11-15,5.0,UG/L,No,,
5822,CA1910124,PASADENA-CITY WATER DEPT,LOS ANGELES,1910124-AAC-A,,AGBU Vatche and Tamar Manoukian High School,2495 East Mountain Street Pasadena CA 91104,Los Angeles,AGBU-1-A,2017-03-23,5.0,UG/L,No,,
14261,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-AHH-A,San Diego Unified,ALBA,4041 Oregon St San Diego CA 92104-1706,San Diego,Main office Bldg; Nurses office; single bubbler on the right side of the sink inside the office,2017-04-22,5.0,UG/L,No,,
2419,CA0110005,EAST BAY MUD,ALAMEDA,0110005-DEA-A,Oakland Unified,ARISE High,3301 East 12th Street Suite 205 Oakland CA 94601-2940,Alameda,Tap in rm 203in teachers lounge,2018-04-12,5.0,UG/L,No,,
2225,CA0110005,EAST BAY MUD,ALAMEDA,0110005-DAG-A,Oakland Unified,ASCEND,3709 East 12th Street Oakland CA 94601-4001,Alameda,Left tap in kitchen ,2018-01-24,5.0,UG/L,No,,
10223,CA3310038,RANCHO CALIFORNIA WATER DISTRICT,RIVERSIDE,3310038-ABC-A,Temecula Valley Unified,Abby Reinke Elementary,43799 Sunny Meadows Drive Temecula CA 92592-4337,Riverside,Drinking fountain in media center,2018-05-03,5.0,UG/L,No,,
8389,CA3010023,CITY OF NEWPORT BEACH,ORANGE,3010023-AAH-A,Newport-Mesa Unified,Abraham Lincoln Elementary,3101 Pacific View Drive Corona Del Mar CA 92625-1108,Orange,DRINKING FOUNTAIN OUTSIDE BY RESTROOM ROOM 27,2018-09-05,5.0,UG/L,No,,
17636,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-AEF-A,San Jose Unified,Abraham Lincoln High,555 Dana Avenue San Jose CA 95126-2002,Santa Clara,Football field underneath the bleachers to the right of the batting cages right fountain,2017-09-12,5.0,UG/L,No,,
13759,CA3710015,POWAY CITY OF,SAN DIEGO,3710015-AAB-A,Poway Unified,Abraxas Continuation High,12450 Glenoak Road Poway CA 92064-3299,San Diego,Outside drinking fountain â€“ SS 1 WS,2017-05-25,5.0,UG/L,No,,
8134,CA3010010,CITY OF FULLERTON,ORANGE,3010010-AAI-A,Fullerton Elementary,Acacia Elementary,1200 North Acacia Avenue Fullerton CA 92831-2102,Orange,Outdoor Drinking Fountain Between Partition 1 & Partition 4,2018-01-17,5.0,UG/L,No,,
19883,CA5610017,VENTURA WATER DEPARTMENT,VENTURA,5610017-AAF-A,Ventura Unified,Academy of Technology & Leadership at Saticoy,760 Jazmin Avenue Ventura CA 93004-1826,Ventura,Cafeteria Hydration Station,2018-02-08,5.0,UG/L,No,,
432,CA0110005,EAST BAY MUD,ALAMEDA,0110005-ABF-A,Acalanes Union High,Acalanes Center for Independent Study,1963 Tice Valley Boulevard Walnut Creek CA 94595-2201,Contra Costa,Site #1 (of 4) Building 400 Hallway Water Fountain,2017-05-17,5.0,UG/L,No,,
422,CA0110005,EAST BAY MUD,ALAMEDA,0110005-ABD-A,Acalanes Union High,Acalanes High,1200 Pleasant Hill Road Lafayette CA 94549-2623,Contra Costa,Site #1 Office Sink,2017-05-17,5.0,UG/L,No,,
2235,CA0110005,EAST BAY MUD,ALAMEDA,0110005-DAI-A,Oakland Unified,Achieve Academy,1700 28th Avenue Oakland CA 94601-2455,Alameda,Df by main office,2018-01-26,5.0,UG/L,No,,
18429,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-CBA-C,,Achiever Christian,540 Sands Drive San Jose CA 95125,Santa Clara,Sample Location 3,2018-03-28,61.0,UG/L,No,,
18163,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BFF-E,,Action Day Primary Plus - Amber,3500 Amber Dr San Jose CA 95117,Santa Clara,Sample Location 5,2018-01-12,5.0,UG/L,No,,
18176,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BFI-A,,Action Day Primary Plus - West Valley Middle School,801 Hibiscus Ln San Jose CA 95117,Santa Clara,Sample Location 1,2018-01-16,5.0,UG/L,No,,
7192,CA2410009,CITY OF MERCED,MERCED,2410009-AAH-A,Merced City Elementary,Ada Givens Elementary,2900 Green Street Merced CA 95340-3253,Merced,SE Faucet - STEAM,2017-09-13,5.0,UG/L,No,,
6968,CA2110002,MARIN MUNICIPAL WATER DISTRICT,MARIN,2110002-ACG-A,Kentfield Elementary,Adaline E Kent Middle,800 College Avenue Kentfield CA 94904-2549,Marin,BldgD inside DF ,2018-04-04,5.0,UG/L,No,,
14141,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-AFD-A,San Diego Unified,Adams Elementary,4672 35th Street San Diego CA 92116-3536,San Diego,BLDG 200 prep kitchen near entrance swing arm faucet,2017-04-15,5.0,UG/L,No,,
3814,CA1010007,CITY OF FRESNO,FRESNO,1010007-AEA-E,Fresno Unified,Addams Elementary,2117 West McKinley Avenue Fresno CA 93728-1125,Fresno,Fount (L) Spigot Outside TK2		,2018-08-23,35.0,UG/L,Yes,Fixture removed from service,Complete
