ID,PwsID,WaterSystemName,WaterSystemCounty,PSCODE,DISTRICT,SchoolName,SchoolAddress,SchoolCounty,SchoolSiteName,SAMPLE_DATE,RESULT,RPT_UNIT,Action_Level_Exceedance.,ALE_Follow_Up_Action,ALE_Follow_Up_Status
4025,CA1010007,CITY OF FRESNO,FRESNO,1010007-BBE-B,Washington Unified, W E B DuBois Public Charter Satellite Campus,2604 Martin Luther King Blvd Fresno  CA 93706 ,Fresno ,Room 201 Sink (Cold)		,2018-08-22,5,UG/L,No,NA,NA
552,CA0110005,EAST BAY MUD,ALAMEDA,0110005-ADI-E,NA,A Better Chance / California Autism Foundation,4138 Lakeside Drive Richmond CA 94806,Contra Costa,Fountain	outside smaller kitchen,2017-10-25,5,UG/L,No,NA,NA
8337,CA3010022,GOLDEN STATE WC - WEST ORANGE,ORANGE,3010022-ABG-C,Cypress Elementary,A E Arnold Elementary,9281 Denni Street Cypress CA 90630-2724,Orange,Kitchen ,2018-08-15,120,UG/L,Yes,Resampled,Pending
8625,CA3010046,CITY OF TUSTIN,ORANGE,3010046-AAB-E,Tustin Unified,A G Currie Middle,1402 Sycamore Ave Tustin CA 92780-6233,Orange,E sample Cafeteria,2017-10-25,5,UG/L,No,NA,NA
8746,CA3010062,CITY OF GARDEN GROVE,ORANGE,3010062-AAB-E,Garden Grove Unified,A J Cook Elementary,9802 Woodbury Avenue Garden Grove CA 92844-2819,Orange,Building C By the restrooms,2018-04-19,5,UG/L,No,NA,NA
18259,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BID-F,Alum Rock Union Elementary,A J Dorsa Elementary,1290 Bal Harbor Drive San Jose CA 95122-1902,Santa Clara,Sample Location 6,2018-03-13,5,UG/L,No,NA,NA
10641,CA3410010,CALAM - SUBURBAN,SACRAMENTO,3410010-AAC-A,Sacramento City Unified,A M Winn Waldorf-Inspired,3351 Explorer Drive Sacramento CA 95827-2954,Sacramento,Kitchen,2017-09-15,12,UG/L,No,NA,NA
19852,CA5610014,OJAI WATER SYSTEM,VENTURA,5610014-AAE-B,Ojai Unified,A Place to Grow,414 East Ojai Avenue Ojai CA 93023-2819,Ventura,K-2 Classroom,2017-04-04,5,UG/L,No,NA,NA
10225,CA3310038,RANCHO CALIFORNIA WATER DISTRICT,RIVERSIDE,3310038-ABC-C,Temecula Valley Unified,Abby Reinke Elementary,43799 Sunny Meadows Drive Temecula CA 92592-4337,Riverside,Drinking fountain in lunch area,2018-05-03,5,UG/L,No,NA,NA
8393,CA3010023,CITY OF NEWPORT BEACH,ORANGE,3010023-AAH-E,Newport-Mesa Unified,Abraham Lincoln Elementary,3101 Pacific View Drive Corona Del Mar CA 92625-1108,Orange,DRINKING FOUNTAIN OUTSIDE ROOM 1 K-1 BUILDING,2018-09-05,5,UG/L,No,NA,NA
17640,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-AEF-E,San Jose Unified,Abraham Lincoln High,555 Dana Avenue San Jose CA 95126-2002,Santa Clara,To the right of classroom 44 left fountain,2017-09-12,5,UG/L,No,NA,NA
13763,CA3710015,POWAY CITY OF,SAN DIEGO,3710015-AAB-E,Poway Unified,Abraxas Continuation High,12450 Glenoak Road Poway CA 92064-3299,San Diego,Inside drinking fountain â€“ 6,2017-05-25,5,UG/L,No,NA,NA
8138,CA3010010,CITY OF FULLERTON,ORANGE,3010010-AAI-E,Fullerton Elementary,Acacia Elementary,1200 North Acacia Avenue Fullerton CA 92831-2102,Orange,Partition 5 Drinking Fountain by Room 18,2018-01-17,5,UG/L,No,NA,NA
19887,CA5610017,VENTURA WATER DEPARTMENT,VENTURA,5610017-AAF-E,Ventura Unified,Academy of Technology & Leadership at Saticoy,760 Jazmin Avenue Ventura CA 93004-1826,Ventura,Teachers Lounge Dispenser,2018-02-08,5,UG/L,No,NA,NA
435,CA0110005,EAST BAY MUD,ALAMEDA,0110005-ABF-D,Acalanes Union High,Acalanes Center for Independent Study,1963 Tice Valley Boulevard Walnut Creek CA 94595-2201,Contra Costa,Site #4 (of 4) Building 300 Hallway Water Fountain,2017-05-17,5,UG/L,No,NA,NA
426,CA0110005,EAST BAY MUD,ALAMEDA,0110005-ABD-E,Acalanes Union High,Acalanes High,1200 Pleasant Hill Road Lafayette CA 94549-2623,Contra Costa,Site #5 Water Fountain by Room 510,2017-05-17,5,UG/L,No,NA,NA
18113,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BEC-C,Santa Clara County Office of Education,ACE Empower Academy,625 South Sunset Avenue San Jose CA 95116-3423,Santa Clara,Sample Location 3,2018-01-23,5,UG/L,No,NA,NA
18116,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BED-C,Franklin-McKinley Elementary,ACE Franklin McKinley,1665 Santee Drive San Jose CA 95112-2865,Santa Clara,Sample Location 3,2018-01-24,5,UG/L,No,NA,NA
17642,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-AEG-B,San Jose Unified,ACE Inspire Academy,110 East Hedding Street San Jose CA 95112-6334,Santa Clara,Sample Location 2,2018-01-24,5,UG/L,No,NA,NA
2239,CA0110005,EAST BAY MUD,ALAMEDA,0110005-DAI-E,Oakland Unified,Achieve Academy,1700 28th Avenue Oakland CA 94601-2455,Alameda,Df by principal room,2018-01-26,5,UG/L,No,NA,NA
18429,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-CBA-C,NA,Achiever Christian,540 Sands Drive San Jose CA 95125,Santa Clara,Sample Location 3,2018-03-28,61,UG/L,No,NA,NA
827,CA0110005,EAST BAY MUD,ALAMEDA,0110005-AIE-E,Oakland Unified,ACORN Woodland Elementary,1025 81st Avenue Oakland CA 94621-2455,Alameda,Fountain	Building M left set of fountains,2017-11-15,5,UG/L,No,NA,NA
18163,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BFF-E,NA,Action Day Primary Plus - Amber,3500 Amber Dr San Jose CA 95117,Santa Clara,Sample Location 5,2018-01-12,5,UG/L,No,NA,NA
18180,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BFI-E,NA,Action Day Primary Plus - West Valley Middle School,801 Hibiscus Ln San Jose CA 95117,Santa Clara,Sample Location 5,2018-01-16,5,UG/L,No,NA,NA
7196,CA2410009,CITY OF MERCED,MERCED,2410009-AAH-E,Merced City Elementary,Ada Givens Elementary,2900 Green Street Merced CA 95340-3253,Merced,Faucet by Rm 18/Gate 3,2017-09-13,5,UG/L,No,NA,NA
6972,CA2110002,MARIN MUNICIPAL WATER DISTRICT,MARIN,2110002-ACG-E,Kentfield Elementary,Adaline E Kent Middle,800 College Avenue Kentfield CA 94904-2549,Marin,BldgC outside DF ,2018-04-04,5,UG/L,No,NA,NA
14145,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-AFD-E,San Diego Unified,Adams Elementary,4672 35th Street San Diego CA 92116-3536,San Diego,BLDG 300 room 14 bubbler at sink,2017-04-15,5,UG/L,No,NA,NA
3814,CA1010007,CITY OF FRESNO,FRESNO,1010007-AEA-E,Fresno Unified,Addams Elementary,2117 West McKinley Avenue Fresno CA 93728-1125,Fresno,Fount (L) Spigot Outside TK2		,2018-08-23,35,UG/L,Yes,Fixture removed from service,Complete
17343,CA4310009,CITY OF PALO ALTO,SANTA CLARA,4310009-AAB-A,Palo Alto Unified,Addison Elementary,650 Addison Avenue Palo Alto CA 94301-3206,Santa Clara,Drinking Fountain Rm 1(AAB_A),2018-09-06,575,UG/L,No,NA,NA
18264,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BIE-E,Alum Rock Union Elementary,Adelante Dual Language Academy,2999 Ridgemont Drive San Jose CA 95127-4649,Santa Clara,Sample Location 5,2018-03-14,5,UG/L,No,NA,NA
19533,CA5010018,RIVERBANK CITY OF,STANISLAUS,5010018-AAB-E,Riverbank Unified,Adelante High,6801 Seventh Street Riverbank CA 95367,Stanislaus,Room #1 - First sink,2018-01-04,5,UG/L,No,NA,NA
9341,CA3110008,CITY OF ROSEVILLE,PLACER,3110008-AAB-D,Roseville Joint Union High,Adelante High (Continuation),350 Atlantic Street Roseville CA 95678-1849,Placer,Admin Office- Sink,2017-05-16,5,UG/L,No,NA,NA
11861,CA3610001,ADELANTO CITY OF,SAN BERNARDINO,3610001-AAB-E,Victor Valley Union High,Adelanto High,15620 Joshua Street Adelanto CA 92392-5600,San Bernardino,BLDG F - NORTH-EAST SIDE OF POOL AREA OUTSIDE ENTER AT DOOR F106 DRINKING FOUNTAIN,2017-07-25,5,UG/L,No,NA,NA
16781,CA4110013,CITY OF DALY CITY,SAN MATEO,4110013-ACB-H,Jefferson Union High,Adult Education Division,699 Serramonte Boulevard Suite 111 Daly City CA 94015-3219,San Mateo,Head Start State Preschool - Room B,2018-04-24,5,UG/L,No,NA,NA
7153,CA2310004,WILLITS CITY OF,MENDOCINO,2310004-AAI-E,NA,Adventist Christian School,22751 Bray Rd Willits CA 95490,Mendocino,Boys bathroom 3rd sink,2018-01-17,5,UG/L,No,NA,NA
5826,CA1910124,PASADENA-CITY WATER DEPT,LOS ANGELES,1910124-AAC-E,NA,AGBU Vatche and Tamar Manoukian High School,2495 East Mountain Street Pasadena CA 91104,Los Angeles,AGBU-5-A,2017-03-23,5,UG/L,No,NA,NA
8761,CA3010062,CITY OF GARDEN GROVE,ORANGE,3010062-AAE-E,Garden Grove Unified,Agnes Ware Stanley Elementary,12201 Elmwood Avenue Garden Grove CA 92840-3439,Orange,Building G Kindergarten play area,2018-04-20,5,UG/L,No,NA,NA
3817,CA1010007,CITY OF FRESNO,FRESNO,1010007-AEB-A,Fresno Unified,Ahwahnee Middle,1127 East Escalon Avenue Fresno CA 93710-5510,Fresno,Kitchen Sink-Cold		,2018-06-29,88,UG/L,No,NA,NA
3826,CA1010007,CITY OF FRESNO,FRESNO,1010007-AEC-E,Fresno Unified,Akira Yokomi Elementary,2323 East McKenzie Fresno CA 93701-2221,Fresno,Â® Fount 2nd Flr Across Bathrooms 		,2018-06-29,5,UG/L,No,NA,NA
5402,CA1910034,DOWNEY - CITY WATER DEPT,LOS ANGELES,1910034-AAB-C,Downey Unified,Alameda Elementary,8613 East Alameda Street Downey CA 90242-2620,Los Angeles,Food preparation/ Kitchen Sink,2017-05-09,5,UG/L,No,NA,NA
1078,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BDD-E,Alameda Unified,Alameda High,2201 Encinal Avenue Alameda CA 94501-4406,Alameda,Water Dispenser	Dispenser in Gym Near Boys / Girls Locker rooms,2017-11-28,5,UG/L,No,NA,NA
1138,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BEF-C,Alameda Unified,Alameda Science and Technology Institute,555 Atlantic Avenue Alameda CA 94501-2109,Alameda,Tap	Tap in Menâ€™s Restroom,2017-11-29,5,UG/L,No,NA,NA
19241,CA4810008,CITY OF VACAVILLE,SOLANO,4810008-AAC-E,Vacaville Unified,Alamo Elementary,500 South Orchard Avenue Vacaville CA 95688-4334,Solano,Room 28 Sink/Fountain,2018-02-20,5,UG/L,No,NA,NA
9610,CA3310009,EASTERN MUNICIPAL WD,RIVERSIDE,3310009-AAB-E,Temecula Valley Unified,Alamos Elementary,38200 Pacific Park Drive Murrieta CA 92563-3242,Riverside,AE Preschool,2018-05-30,5,UG/L,No,NA,NA
13606,CA3710014,OCEANSIDE CITY OF,SAN DIEGO,3710014-AAB-C,Vista Unified,Alamosa Park Elementary,5130 Alamosa Park Drive Oceanside CA 92057-6301,San Diego,3710014-AES-C,2017-03-14,5,UG/L,No,NA,NA
11598,CA3410029,SCWA - LAGUNA/VINEYARD,SACRAMENTO,3410029-AAB-C,NA,Alan Rowe Prep-College ,9424 Big Horn Blvd Elk Grove  CA 95758,Sacramento,Main Hall Near Sudent Restrooms 2 wall mounted low codlers,2017-04-19,5,UG/L,No,NA,NA
14265,CA3710020,SAN DIEGO CITY OF,SAN DIEGO,3710020-AHH-E,San Diego Unified,ALBA,4041 Oregon St San Diego CA 92104-1706,San Diego,Classroom building; Room 10; Single bubbler on the r side of the interior sink,2017-04-22,5,UG/L,No,NA,NA
945,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BAI-C,Albany Unified,Albany Childrens Center,720 Jackson St Albany CA 94706,Alameda,Fountain	Classroom 10 / Fountain,2017-11-15,82,UG/L,No,NA,NA
847,CA0110005,EAST BAY MUD,ALAMEDA,0110005-AII-E,Albany City Unified,Albany High,603 Key Route Boulevard Albany CA 94706-1422,Alameda,Fountain	Water fountain in gym lobby,2017-11-15,5,UG/L,No,NA,NA
798,CA0110005,EAST BAY MUD,ALAMEDA,0110005-AHI-E,Albany City Unified,Albany Middle,1259 Brighton Avenue Albany CA 94706-1336,Alameda,Fountain	Upstairs fountain,2017-11-15,5,UG/L,No,NA,NA
3114,CA0510001,UNION PUBLIC UTILITY DISTRICT,CALAVERAS,0510001-AAB-Z,Vallecito Union,Albert A Michelson Elementary,196 Pennsylvania Gulch Road Murphys CA 95247-9521,Calaveras,DISTRIBUTION SOURCE,2018-01-26,5,UG/L,No,NA,NA
6693,CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,LOS ANGELES,1910211-ABB-C,Bellflower Unified,Albert Baxter Elementary,14929 Cerritos Avenue Bellflower CA 90706-2827,Los Angeles,Building Water Fountain Water Spigot,2018-04-19,5,UG/L,No,NA,NA
10655,CA3410010,CALAM - SUBURBAN,SACRAMENTO,3410010-AAE-E,Sacramento City Unified,Albert Einstein Middle,9325 Mirandy Drive Sacramento CA 95826-5224,Sacramento,DF Adjacent Clrm 17,2017-09-12,5,UG/L,No,NA,NA
10460,CA3410004,CARMICHAEL WATER DISTRICT,SACRAMENTO,3410004-AAE-E,San Juan Unified,Albert Schweitzer Elementary,4350 Glenridge Drive Carmichael CA 95608-2043,Sacramento,Room 20,2017-10-12,5,UG/L,No,NA,NA
10159,CA3310031,RIVERSIDE CITY OF,RIVERSIDE,3310031-ADD-C,Riverside Unified,Alcott Elementary,2433 Central Avenue Riverside CA 92506-3408,Riverside,Primary Field Drinking Fountain (Tall Unit),2018-08-24,58,UG/L,No,NA,NA
12414,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-ACA-D,Fontana Unified,Alder Middle,7555 Alder Avenue Fontana CA 92336-2303,San Bernardino,Building D Staff Lounge Fountain/Sink ,2018-04-25,5,UG/L,No,NA,NA
9065,CA3010092,IRVINE RANCH WATER DISTRICT,ORANGE,3010092-AAD-E,Irvine Unified,Alderwood Elementary,2005 Knollcrest Irvine CA 92603-1600,Orange,Kitchen,2017-10-03,508,UG/L,No,NA,NA
